movie_title,release_date,genre,metascore
Anatomy of a Murder,01-Jul-59,"Drama,Mystery,Thriller,Crime",95
Bringing Up Baby,18-Feb-38,"Comedy,Romance,Family",91
After Life,12-May-99,"Drama,Fantasy",91
Gavagai,03-Aug-18,Drama,91
The Hustler,25-Sep-61,"Drama,Sport",90
The Circus,01-Jan-29,"Comedy,Romance",90
National Gallery,05-Nov-14,"History,Documentary",89
Tales of the Grim Sleeper,26-Dec-14,"Crime,Documentary",85
The Waiting Room,28-Sep-12,Documentary,84
Rosie,19-Jul-19,Drama,83
Levitated Mass,05-Sep-14,"Biography,History,Documentary,News",82
Nossa Chape,01-Jun-18,"Sport,Documentary",80
Fiddler: A Miracle of Miracles,23-Aug-19,Documentary,80
Liyana,10-Oct-18,"Animation,Documentary",80
David Crosby: Remember My Name,19-Jul-19,"Music,Documentary",80
Colliding Dreams,04-Mar-16,"Biography,History,Documentary,News",79
The Order of Myths,25-Jul-08,Documentary,79
House of Games,14-Oct-87,"Thriller,Crime",78
Tickling Giants,15-Mar-17,Documentary,78
Abuse of Weakness,15-Aug-14,Drama,77
People's Republic of Desire,30-Nov-18,Documentary,77
The Decline of Western Civilization Part III,07-Jul-00,Documentary,77
How to Change the World,09-Sep-15,"Adventure,Biography,History,Documentary",77
"Monrovia, Indiana",26-Oct-18,Documentary,77
The Death and Life of Marsha P. Johnson,06-Oct-17,Documentary,76
Outside In,30-Mar-18,Drama,76
"3 1/2 Minutes, 10 Bullets",19-Jun-15,"Drama,Crime,Documentary,News",76
Keep Quiet,10-Feb-17,Documentary,76
Trees Lounge,11-Oct-96,"Drama,Comedy",76
Afternoon of a Faun: Tanaquil Le Clercq,05-Feb-14,"Biography,Drama,Music,Documentary",76
Promare,17-Sep-19,"Adventure,Sci-Fi,Animation",76
Heavy,05-Jun-96,"Drama,Romance",75
Charlie's Country,05-Jun-15,Drama,75
What Ever Happened to Baby Jane?,31-Oct-62,"Drama,Thriller,Horror",75
Little Woods,19-Apr-19,"Drama,Crime,Western",74
Land and Shade,17-Jun-16,Drama,74
The Rape of Recy Taylor,08-Dec-17,Documentary,73
(T)error,07-Oct-15,Documentary,73
China Blue,26-Jan-07,Documentary,73
Big Animal,20-Feb-04,"Drama,Comedy",73
One Week and a Day,28-Apr-17,"Drama,Comedy",72
Saturday Church,12-Jan-18,"Drama,Fantasy,Musical",72
Violette,13-Jun-14,"Biography,Drama",72
The Kill Team,25-Jul-14,Documentary,72
Isn't This a Time! A Tribute Concert for Harold Leventhal,09-Dec-05,Documentary,72
The Talent Given Us,17-Jun-05,"Drama,Comedy",72
Men Go to Battle,08-Jul-16,"Drama,History,Comedy",72
The Brink,29-Mar-19,Documentary,71
The Farewell Party,22-May-15,"Drama,Comedy",71
Pasolini,10-May-19,"Biography,Drama",71
"Cry, the Beloved Country",15-Dec-95,"Drama,Thriller",71
Sylvio,13-Oct-17,"Drama,Fantasy,Comedy",71
11 Flowers,22-Feb-13,Drama,71
King Leopold's Ghost,18-Aug-06,Documentary,71
Jerichow,15-May-09,Drama,71
"The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby",23-Sep-11,"Biography,History,War,Documentary",71
Rock the Bells,11-Apr-07,"Music,Documentary",70
The Great Muppet Caper,26-Jun-81,"Adventure,Mystery,Comedy,Crime,Family,Musical",70
Citizen Jane: Battle for the City,21-Apr-17,"Biography,History,Documentary",70
Who Gets to Call It Art?,01-Feb-06,Documentary,70
Sicilian Ghost Story,30-Nov-18,"Drama,Mystery,Fantasy,Romance,Crime",70
The Cruise,23-Oct-98,Documentary,69
The Reports on Sarah and Saleem,12-Jun-19,"Drama,Mystery,Romance,Crime,War",69
Moka,14-Jun-17,Drama,69
Bill W.,18-May-12,"Biography,History,Documentary",69
Here,13-Apr-12,"Adventure,Drama,Romance",68
Afterglow,26-Dec-97,"Drama,Comedy,Romance",68
Stations of the Cross,10-Jul-15,Drama,68
Sorcerer,24-Jun-77,"Adventure,Drama,Thriller",68
Into Eternity,02-Feb-11,Documentary,68
Protagonist,30-Nov-07,Documentary,68
Purple Butterfly,26-Nov-04,"Drama,History,War",68
The Beauty Academy of Kabul,24-Mar-06,Documentary,68
Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),10-Sep-10,"Music,Documentary",68
The Gospel According to André,25-May-18,Documentary,67
Buena Vista Social Club: Adios,26-May-17,Documentary,67
After Everything,12-Oct-18,"Drama,Comedy",67
Escape Fire: The Fight to Rescue American Healthcare,05-Oct-12,"Documentary,News",67
Parched,17-Jun-16,Drama,67
Steel City,25-May-07,Drama,67
Been Rich All My Life,21-Jul-06,Documentary,67
Super Fly,04-Aug-72,"Action,Drama,Crime",67
You Will Be My Son,16-Aug-13,Drama,67
The Goebbles Experiment,12-Aug-05,"Biography,History,War,Documentary",67
Mrs. Parker and the Vicious Circle,23-Nov-94,"Biography,Drama",66
Never Here,20-Oct-17,"Drama,Mystery,Thriller",66
Glassland,12-Feb-16,Drama,66
God Knows Where I Am,31-Mar-17,"Biography,Drama,History,Mystery,Documentary",66
Strange Powers: Stephin Merritt and the Magnetic Fields,27-Oct-10,"Music,Documentary",66
The Monastery: Mr. Vig and the Nun,29-Aug-07,Documentary,66
Windfall,03-Feb-12,"Drama,Documentary",65
...So Goes the Nation,04-Oct-06,Documentary,65
Tying the Knot,01-Oct-04,Documentary,65
Ivory Tower,13-Jun-14,"History,Family,Documentary,News",65
Photograph,17-May-19,"Drama,Romance,Short",65
Daughters of the Sun,29-Jul-04,Drama,65
The Apparition,07-Sep-18,Drama,64
Guilty by Suspicion,15-Mar-91,Drama,64
Close to Home,16-Feb-07,Drama,64
Hamburger Hill,28-Aug-87,"Action,Drama,Thriller,War",64
Following Sean,13-Jan-06,Documentary,64
Mongolian Ping Pong,21-Apr-06,"Drama,Comedy",64
Pick of the Litter,31-Aug-18,Documentary,64
The Electric Horseman,21-Dec-79,"Drama,Comedy,Romance,Western",64
The Long Dumb Road,09-Nov-18,Comedy,64
Bright Future,12-Nov-04,Drama,64
The Horse Boy,30-Sep-09,Documentary,64
Finding Fela!,01-Aug-14,"Biography,History,Music,Documentary",64
Medeas,16-Jan-15,Drama,64
Noble,08-May-15,"Biography,Drama",63
Who's That Knocking at My Door?,08-Sep-68,"Drama,Romance",63
A State of Mind,10-Aug-05,Documentary,63
"Lipstick & Dynamite, Piss & Vinegar: The First Ladies of Wrestling",25-Mar-05,Documentary,62
Vajra Sky Over Tibet,08-Sep-06,Documentary,61
Haute Cuisine,20-Sep-13,"Biography,Comedy",61
Hideaway (Le refuge),10-Sep-10,Drama,61
XY Chelsea,10-May-19,Documentary,60
Alice Neel,20-Apr-07,Documentary,60
The Other Half,10-Mar-17,"Drama,Romance",60
